Title,Year,Country,First_Author_First,Predicted_First_Gender,Last_Author_First,Predicted_Last_Gender,MeSH_Clean
Brain and blood flow: it takes two to tango.,2014,United States,Neeraj,mostly_male,Romergryko,unknown,"['Cerebrovascular Circulation', 'Female', 'Heart Arrest', 'Humans', 'Male', 'Ultrasonography']"
Duplex sonography of cerebral blood flow after cardiac arrest--a prospective observational study.,2014,Germany,Florian,male,Stephan,male,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Blood Flow Velocity', 'Case-Control Studies', 'Cerebral Veins', 'Cerebrovascular Circulation', 'Female', 'Heart Arrest', 'Humans', 'Hypothermia, Induced', 'Male', 'Middle Aged', 'Middle Cerebral Artery', 'Prognosis', 'Prospective Studies', 'Pulsatile Flow', 'Ultrasonography, Doppler, Transcranial', 'Young Adult']"
The EMS Modified Early Warning Score (EMEWS): A Simple Count of Vital Signs as a Predictor of Out-of-Hospital Cardiac Arrests.,2022,,Brian,male,Lawrence,male,"['Cardiopulmonary Resuscitation', 'Data Collection', 'Early Warning Score', 'Emergency Medical Services', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Vital Signs']"
Neurological Prognostication Using Raw EEG Patterns and Spectrograms of Frontal EEG in Cardiac Arrest Patients.,2022,,Wook,mostly_male,Sang,andy,"['Electroencephalography', 'Glasgow Coma Scale', 'Heart Arrest', 'Humans', 'Hypoxia-Ischemia, Brain', 'Prognosis', 'Prospective Studies']"
Amniotic fluid embolism with right heart masses presenting as cardiac arrest during labour.,2019,Australia,Luke,male,Jonathan,male,"['Embolism, Amniotic Fluid', 'Female', 'Heart Arrest', 'Humans', 'Labor, Obstetric', 'Pregnancy']"
Early Identification of Patients With Out-of-Hospital Cardiac Arrest With No Chance of Survival and Consideration for Organ Donation.,2016,France,Patricia,female,Xavier,male,"['Aged', 'Clinical Decision-Making', 'Early Diagnosis', 'Female', 'France', 'Humans', 'Male', 'Out-of-Hospital Cardiac Arrest', 'Retrospective Studies', 'Tissue and Organ Procurement', 'United States']"
Recognition of out-of-hospital cardiac arrest by medical dispatchers in emergency medical dispatch centres in two countries.,2016,Denmark,Thea,female,Freddy,male,"['Aged', 'Aged, 80 and over', 'Cardiopulmonary Resuscitation', 'Defibrillators', 'Denmark', 'Emergency Medical Dispatch', 'Emergency Medical Service Communication Systems', 'Female', 'Humans', 'Male', 'Middle Aged', 'Out-of-Hospital Cardiac Arrest', 'Registries', 'Sweden', 'Time Factors']"
Impact of Ultrasonography on Chest Compression Fraction and Survival in Patients with Out-of-hospital Cardiac Arrest.,2023,China,Wan-Ching,unknown,Wen-Jone,unknown,"['Adult', 'Humans', 'Cardiopulmonary Resuscitation', 'Out-of-Hospital Cardiac Arrest', 'Retrospective Studies', 'Hospitalization', 'Patient Discharge']"
"Extracorporeal cardiopulmonary resuscitation location, coronary angiography and survival in out-of-hospital cardiac arrest.",2023,,Yoonjic,unknown,Sang,andy,"['Adult', 'Humans', 'Treatment Outcome', 'Out-of-Hospital Cardiac Arrest', 'Coronary Angiography', 'Extracorporeal Membrane Oxygenation', 'Cardiopulmonary Resuscitation', 'Retrospective Studies']"
A comparison of the ability of the National Early Warning Score and the National Early Warning Score 2 to identify patients at risk of in-hospital mortality: A multi-centre database study.,2019,,Marco,male,Peter,male,"['Aged', 'Aged, 80 and over', 'Early Warning Score', 'Female', 'Heart Arrest', 'Hospital Mortality', 'Humans', 'Male', 'Middle Aged', 'ROC Curve', 'Respiratory Insufficiency', 'Retrospective Studies', 'Risk Assessment', 'Sensitivity and Specificity']"
Review of Clinical Guidelines for Cardiopulmonary Resuscitation.,2015,United States,David,male,David,male,"['American Heart Association', 'Cardiopulmonary Resuscitation', 'Emergency Medical Services', 'First Aid', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'United States']"
Low apparent diffusion coefficient cluster-based analysis of diffusion-weighted MRI for prognostication of out-of-hospital cardiac arrest survivors.,2013,,Joonghee,unknown,Soo,andy,"['Adult', 'Aged', 'Brain', 'Diffusion Magnetic Resonance Imaging', 'Female', 'Humans', 'Male', 'Middle Aged', 'Neuroimaging', 'Out-of-Hospital Cardiac Arrest', 'Prognosis', 'Survivors']"
Delayed Presentation of Spontaneous Shockable Rhythm After Death: Another Subtype of Lazarus Phenomenon?,2022,,Hyung,andy,Hyung,andy,"['Female', 'Humans', 'Adult', 'Cardiopulmonary Resuscitation', 'Return of Spontaneous Circulation', 'Heart Arrest', 'Epinephrine', 'Tachycardia, Ventricular', 'Out-of-Hospital Cardiac Arrest']"
Neurological pupil index and its association with other prognostic tools after cardiac arrest: A post hoc analysis.,2022,Italy,Lorenzo,male,Fabio,male,"['Adult', 'Heart Arrest', 'Humans', 'Myoclonus', 'Phosphopyruvate Hydratase', 'Prognosis', 'Prospective Studies', 'Pupil']"
Pearls & Oy-sters: Delayed Diagnosis of Acute Motor Axonal Neuropathy With Cardiac Arrest.,2022,Canada,Sina,female,Tychicus,unknown,"['Delayed Diagnosis', 'Guillain-Barre Syndrome', 'Heart Arrest', 'Humans']"
"In patients with out-of-hospital cardiac arrest, does the provision of dispatch cardiopulmonary resuscitation instructions as opposed to no instructions improve outcome: a systematic review of the literature.",2011,Sweden,Katarina,female,Maaret,female,"['Cardiopulmonary Resuscitation', 'Emergency Medical Service Communication Systems', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Prognosis']"
Feasibility of resuscitative transesophageal echocardiography at out-of-hospital emergency scenes of cardiac arrest.,2023,Austria,Mario,male,Peter,male,"['Adult', 'Humans', 'Echocardiography, Transesophageal', 'Cardiopulmonary Resuscitation', 'Feasibility Studies', 'Out-of-Hospital Cardiac Arrest', 'Hospitals']"
Long-term stress conditions and out-of-hospital cardiac arrest risk: a nested case-control study.,2023,Denmark,Talip,male,Gunnar,male,"['Humans', 'Male', 'Female', 'Aged', 'Case-Control Studies', 'Out-of-Hospital Cardiac Arrest', 'Risk Factors', 'Anxiety']"
Transesophageal Echocardiography in Patients in Cardiac Arrest: The Heart and Beyond.,2023,Canada,Geneviève,female,André,male,"['Humans', 'Echocardiography, Transesophageal', 'Heart Arrest', 'Heart', 'Echocardiography', 'Cardiopulmonary Resuscitation']"
Hemorrhagic infarct of basal ganglia in cardiac arrest. CT and MRI findings. 2 cases.,2018,France,Monique,female,Frédéric,male,"['Basal Ganglia', 'Heart Arrest', 'Humans', 'Magnetic Resonance Imaging', 'Tomography, X-Ray Computed']"
Cardiac arrest: abdominal CT imaging features.,2004,United States,A,unknown,K,unknown,"['Abdomen', 'Aged', 'Aged, 80 and over', 'Contrast Media', 'Fatal Outcome', 'Female', 'Heart Arrest', 'Humans', 'Male', 'Middle Aged', 'Radiography, Abdominal', 'Tomography, X-Ray Computed']"
Analysis of Cerebral CT Based on Supervised Machine Learning as a Predictor of Outcome After Out-of-Hospital Cardiac Arrest.,2024,Germany,Hannes,male,Oezguer,unknown,"['Humans', 'Out-of-Hospital Cardiac Arrest', 'Male', 'Female', 'Middle Aged', 'Aged', 'Retrospective Studies', 'Tomography, X-Ray Computed', 'Prognosis', 'Supervised Machine Learning', 'Gray Matter', 'Brain', 'Cohort Studies']"
Pediatric Out-of-Hospital Cardiac Arrest: The Role of the Telecommunicator in Recognition of Cardiac Arrest and Delivery of Bystander Cardiopulmonary Resuscitation.,2024,United States,Miranda,female,Thomas,male,"['Child', 'Humans', 'Cardiopulmonary Resuscitation', 'Emergency Medical Services', 'Out-of-Hospital Cardiac Arrest', 'Retrospective Studies', 'Washington']"
When the machine is wrong. Characteristics of true and false predictions of Out-of-Hospital Cardiac arrests in emergency calls using a machine-learning model.,2023,Denmark,Stig,male,Helle,female,"['Humans', 'Emergency Medical Service Communication Systems', 'Cardiopulmonary Resuscitation', 'Out-of-Hospital Cardiac Arrest', 'Emergency Medical Services', 'Machine Learning']"
Mechanical Circulatory Support Following Out-of-Hospital Cardiac Arrest: Insights From the National Cardiogenic Shock Initiative.,2021,United States,Andrew,male,Mir,male,"['Acute Coronary Syndrome', 'Female', 'Heart-Assist Devices', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Registries', 'Shock, Cardiogenic', 'Treatment Outcome', 'United States']"
Direct or subacute coronary angiography in out-of-hospital cardiac arrest (DISCO)-An initial pilot-study of a randomized clinical trial.,2019,Sweden,Ludvig,male,Leif,male,"['Aged', 'Coronary Angiography', 'Feasibility Studies', 'Female', 'Humans', 'Male', 'Middle Aged', 'Out-of-Hospital Cardiac Arrest', 'Percutaneous Coronary Intervention', 'Pilot Projects', 'Time Factors']"
A Case Report Describing the Use of Point of Care Ultrasound to Guide Successful Cardiopulmonary Resuscitation After Unanticipated Arrest in Ambulatory Surgery.,2019,Georgia,McKenzie,female,Abimbola,unknown,"['Adult', 'Ambulatory Surgical Procedures', 'Cardiopulmonary Resuscitation', 'Echocardiography', 'Heart Arrest', 'Humans', 'Male', 'Point-of-Care Systems']"
Dispatcher assessments for agonal breathing improve detection of cardiac arrest.,2009,United States,Lynn,mostly_female,Ahamed,unknown,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Clinical Protocols', 'Dyspnea', 'Emergency Medical Service Communication Systems', 'False Negative Reactions', 'Female', 'Heart Arrest', 'Humans', 'Male', 'Middle Aged', 'Prospective Studies', 'Respiratory Sounds', 'Survival Rate', 'Telephone', 'Young Adult']"
Clinical symptoms associated with asystolic or bradycardic responses on implantable loop recorder monitoring in patients with recurrent syncope.,2009,United States,Khalil,male,Blair,andy,"['Adult', 'Bradycardia', 'Electrocardiography', 'Female', 'Heart Arrest', 'Humans', 'Male', 'Middle Aged', 'Monitoring, Physiologic', 'Retrospective Studies', 'Syncope']"
The use of cognitive AIDS during simulated pediatric cardiopulmonary arrests.,2008,United States,Kristen,female,Elizabeth,female,"['Algorithms', 'Child, Preschool', 'Cognition', 'Heart Arrest', 'Humans', 'Internship and Residency', 'Patient Simulation', 'Pediatrics']"
Comment on: Impact of emergent coronary angiography after out-of-the-hospital cardiac arrest without ST-segment elevation - A systematic review and meta-analysis.,2022,China,Lin,female,Jinli,andy,"['Cardiopulmonary Resuscitation', 'Coronary Angiography', 'Hospitals', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Percutaneous Coronary Intervention', 'Systematic Reviews as Topic', 'Meta-Analysis as Topic']"
Joint British Societies' guideline on management of cardiac arrest in the cardiac catheter laboratory.,2022,,Joel,male,Simon,male,"['Adult', 'Cardiac Catheters', 'Cardiology', 'Heart Arrest', 'Humans', 'Laboratories', 'Percutaneous Coronary Intervention']"
Very long-chain acyl-CoA dehydrogenase deficiency: No developmental delay after cardiopulmonary arrest.,2021,Japan,Nao,female,Koji,male,"['Acyl-CoA Dehydrogenase, Long-Chain', 'Congenital Bone Marrow Failure Syndromes', 'Heart Arrest', 'Humans', 'Lipid Metabolism, Inborn Errors', 'Mitochondrial Diseases', 'Muscular Diseases']"
Healthcare-based on Cloud Electrocardiogram System: A Medical Center Experience in Middle Taiwan.,2018,,Xiu-Shu,unknown,Lai-Shiun,unknown,"['Angioplasty, Balloon, Coronary', 'Cloud Computing', 'Electrocardiography', 'Emergency Medical Services', 'Humans', 'Out-of-Hospital Cardiac Arrest', 'Smartphone', 'Taiwan', 'Time-to-Treatment']"
Emergency care within hospitals: can it be done more efficiently?,2015,Netherlands,Marjon,female,Dave,male,"['Apnea', 'Efficiency, Organizational', 'Glasgow Coma Scale', 'Heart Arrest', 'Hospital Rapid Response Team', 'Hospitals, University', 'Humans', 'Netherlands', 'Nursing Assessment', 'Quality Improvement', 'Retrospective Studies', 'Vital Signs']"
Variation in Survival After Cardiopulmonary Arrest in Cardiac Catheterization Laboratories in the United States.,2022,United States,Avnish,unknown,Deepak,mostly_male,"['Humans', 'United States', 'Cardiopulmonary Resuscitation', 'Laboratories', 'Treatment Outcome', 'Heart Arrest', 'Registries', 'Survival Rate', 'Cardiac Catheterization', 'Hospital Mortality']"
Cardiac Arrest Following Drug Overdose in the United States: An Analysis of the Cardiac Arrest Registry to Enhance Survival.,2024,United States,Aditya,male,Ryan,mostly_male,"['Humans', 'United States', 'Cardiopulmonary Resuscitation', 'Emergency Medical Services', 'Out-of-Hospital Cardiac Arrest', 'Registries', 'Drug Overdose']"
A Case Study of Lance-Adams Syndrome.,2021,United States,Adam,male,Adam,male,"['Electroencephalography', 'Heart Arrest', 'Humans', 'Male', 'Middle Aged', 'Myoclonus', 'Prognosis', 'Syndrome']"
Asystole in the epilepsy unit.,2015,Israel,Asaf,male,Dana,female,"['Adult', 'Electrocardiography', 'Electroencephalography', 'Heart Arrest', 'Humans', 'Middle Aged', 'Seizures', 'Unconsciousness', 'Young Adult']"
Detection and management of the deteriorating ward patient: an evaluation of nursing practice.,2015,,Mandy,female,Mandy,female,"['Adult', 'Aged', 'Female', 'Guideline Adherence', 'Heart Arrest', 'Hospital Rapid Response Team', 'Humans', 'Male', 'Middle Aged', 'Nursing Assessment', 'Referral and Consultation', 'Retrospective Studies', 'Vital Signs']"
An intelligent scoring system and its application to cardiac arrest prediction.,2012,,Nan,mostly_female,Marcus,male,"['Aged', 'Computational Biology', 'Databases, Factual', 'Diagnosis, Computer-Assisted', 'Electrocardiography', 'Female', 'Heart Arrest', 'Heart Rate', 'Humans', 'Male', 'Middle Aged', 'Prospective Studies', 'ROC Curve', 'Support Vector Machine', 'Vital Signs']"
Bilateral loss of cortical SSEP responses is compatible with good outcome after cardiac arrest.,2012,,Andreas,male,Gernot,male,"['Adolescent', 'Cardiopulmonary Resuscitation', 'Evoked Potentials, Somatosensory', 'Heart Arrest', 'Humans', 'Male', 'Treatment Outcome']"
Early versus delayed coronary angiography after out-of-hospital cardiac arrest without ST-segment elevation.,2023,United States,Esteban,male,Mark,male,"['Humans', 'Coronary Angiography', 'Out-of-Hospital Cardiac Arrest', 'Arrhythmias, Cardiac', 'Electrocardiography', 'Cardiopulmonary Resuscitation', 'Percutaneous Coronary Intervention']"
Association between cardiopulmonary resuscitation audit results with in-situ simulation and in-hospital cardiac arrest outcomes and key performance indicators.,2023,Thailand,Onlak,unknown,Tipa,unknown,"['Humans', 'Retrospective Studies', 'Heart Arrest', 'Epinephrine', 'Cardiopulmonary Resuscitation', 'Hospitals']"
The real incidence of sudden death: Fair estimations or futile speculations?,2024,France,Nathan,male,Philippe,male,"['Humans', 'Out-of-Hospital Cardiac Arrest', 'Incidence', 'Prospective Studies', 'Death, Sudden', 'France', 'Death, Sudden, Cardiac']"
The predictive value of highly malignant EEG patterns after cardiac arrest: evaluation of the ERC-ESICM recommendations.,2024,Italy,Sara,female,Erik,male,"['Humans', 'Cardiopulmonary Resuscitation', 'Critical Care', 'Electroencephalography', 'Heart Arrest', 'Hypothermia, Induced', 'Prognosis', 'Clinical Trials as Topic', 'Multicenter Studies as Topic']"
"2023 International Consensus on Cardiopulmonary Resuscitation and Emergency Cardiovascular Care Science With Treatment Recommendations: Summary From the Basic Life Support; Advanced Life Support; Pediatric Life Support; Neonatal Life Support; Education, Implementation, and Teams; and First Aid Task Forces.",2023,,Katherine,female,Jerry,male,"['Adult', 'Female', 'Child', 'Infant, Newborn', 'Humans', 'First Aid', 'Consensus', 'Out-of-Hospital Cardiac Arrest', 'Premature Birth', 'Cardiopulmonary Resuscitation', 'Emergency Medical Services']"
Out-of-Hospital Cardiac Arrests: Adding to the Complexity.,2023,United States,Benny,male,Benny,male,"['Humans', 'United States', 'Out-of-Hospital Cardiac Arrest', 'White', 'Asian']"
Observational analysiS of out-of-hospital Cardiac Arrest occurRence and temporal variability patterns in subpopulation of southern POLand from 2006 to 2018: OSCAR-POL registry.,2023,Poland,Stanisław,male,Aldona,female,"['Humans', 'Out-of-Hospital Cardiac Arrest', 'Poland', 'Registries', 'Retrospective Studies', 'Time Factors']"
Prediction of Cardiac Arrest: A Dream or Reality?,2021,United States,Chitra,female,Maryam,female,"['Heart Arrest', 'Heart Defects, Congenital', 'Humans']"
Cerebral Infarction Observed on Brain MRI in Unconscious Out-of-Hospital Cardiac Arrest Survivors: A Pilot Study.,2021,,Minyoul,unknown,Yang-Je,unknown,"['Aged', 'Brain', 'Cerebral Infarction', 'Cohort Studies', 'Humans', 'Magnetic Resonance Imaging', 'Out-of-Hospital Cardiac Arrest', 'Pilot Projects', 'Retrospective Studies', 'Survivors']"
A novel scoring system for predicting the neurologic prognosis prior to the initiation of induced hypothermia in cases of post-cardiac arrest syndrome: the CAST score.,2017,Japan,Mitsuaki,male,Shigeyuki,male,"['Adult', 'Aged', 'Heart Arrest', 'Humans', 'Hypothermia, Induced', 'Middle Aged', 'Nervous System Diseases', 'Prognosis', 'Retrospective Studies', 'Severity of Illness Index', 'Tomography, X-Ray Computed']"
Translating biomarkers from research to clinical use in pediatric neurocritical care: focus on traumatic brain injury and cardiac arrest.,2017,United States,Andrew,male,Ericka,female,"['Biomarkers', 'Brain Injuries, Traumatic', 'Child', 'Heart Arrest', 'Humans', 'Polymorphism, Genetic', 'Prognosis', 'Translational Research, Biomedical']"
Importance of the first link: description and recognition of an out-of-hospital cardiac arrest in an emergency call.,2009,Netherlands,Jocelyn,female,Rudolph,male,"['Adult', 'Aged', 'Aged, 80 and over', 'Ambulances', 'Cardiopulmonary Resuscitation', 'Communication', 'Cues', 'Death, Sudden, Cardiac', 'Diagnostic Errors', 'Early Diagnosis', 'Emergencies', 'Emergency Medical Service Communication Systems', 'Emergency Medical Services', 'Female', 'Heart Arrest', 'Humans', 'Male', 'Middle Aged', 'Netherlands', 'Prevalence', 'Prospective Studies', 'Respiration Disorders', 'Sampling Studies', 'Single-Blind Method', 'Telephone']"
Use of the bispectral index during the early postresuscitative phase after out-of-hospital cardiac arrest.,2005,Japan,Shigehiro,male,Keiji,male,"['Aged', 'Aged, 80 and over', 'Cardiopulmonary Resuscitation', 'Electroencephalography', 'Emergency Medical Services', 'Female', 'Glasgow Coma Scale', 'Heart Arrest', 'Humans', 'Male', 'Middle Aged', 'Nervous System Diseases', 'Predictive Value of Tests', 'Prognosis', 'Treatment Outcome']"
Feasibility of Magnetic Resonance-Based Conductivity Imaging as a Tool to Estimate the Severity of Hypoxic-Ischemic Brain Injury in the First Hours After Cardiac Arrest.,2024,,Yong,mostly_male,Kyung,mostly_female,"['Humans', 'Animals', 'Swine', 'Feasibility Studies', 'Swine, Miniature', 'Heart Arrest', 'Magnetic Resonance Spectroscopy', 'Brain Injuries', 'Cardiopulmonary Resuscitation']"
Guiding Cardiopulmonary Resuscitation with Focused Echocardiography: A Report of Five Cases.,2020,,Rachel,female,David,male,"['Aged', 'Aged, 80 and over', 'Cardiopulmonary Resuscitation', 'Echocardiography', 'Emergency Medical Services', 'Female', 'Heart Arrest', 'Humans', 'Male', 'Middle Aged']"
Recognition of out-of-hospital cardiac arrest during emergency calls and public awareness of cardiopulmonary resuscitation in communities: A multilevel analysis.,2018,,Sun,andy,So,andy,"['Aged', 'Aged, 80 and over', 'Cardiopulmonary Resuscitation', 'Cross-Sectional Studies', 'Emergency Medical Dispatch', 'Female', 'Health Knowledge, Attitudes, Practice', 'Humans', 'Logistic Models', 'Male', 'Middle Aged', 'Multilevel Analysis', 'Odds Ratio', 'Out-of-Hospital Cardiac Arrest', 'Registries', 'Republic of Korea']"
Validation of an ICD code for accurately identifying emergency department patients who suffer an out-of-hospital cardiac arrest.,2018,United States,Shelby,mostly_female,Sarah,female,"['Emergency Service, Hospital', 'Humans', 'International Classification of Diseases', 'Out-of-Hospital Cardiac Arrest', 'Predictive Value of Tests', 'Retrospective Studies', 'Sensitivity and Specificity']"
Most important outcomes research papers on cardiac arrest and cardiopulmonary resuscitation.,2014,,Karthik,male,Rachel,female,"['Cardiopulmonary Resuscitation', 'Delivery of Health Care, Integrated', 'Electric Countershock', 'Heart Arrest', 'Humans', 'Outcome and Process Assessment, Health Care', 'Prognosis', 'Publications', 'Research', 'Survival Analysis', 'United States']"
Hand-held echocardiography in the management of cardiac arrest.,2012,Israel,Achikam,male,Duane,male,"['Aged', 'Disease Management', 'Echocardiography', 'Heart Arrest', 'Humans', 'Male']"
Long-term survival after cardiac arrest in patients undergoing emergent coronary angiography.,2024,Spain,Pablo,male,Manel,male,"['Humans', 'Coronary Angiography', 'ST Elevation Myocardial Infarction', 'Hypothermia', 'Treatment Outcome', 'Heart Arrest', 'Out-of-Hospital Cardiac Arrest']"
Neurovascular Hypoxia Trajectories Assessed by Photoacoustic Imaging in a Murine Model of Cardiac Arrest and Resuscitation.,2023,,John,male,Pierre,male,"['Humans', 'Animals', 'Mice', 'Disease Models, Animal', 'Photoacoustic Techniques', 'Resuscitation', 'Heart Arrest', 'Hypoxia']"
Disparities in mechanical circulatory support utilization post cardiac arrest: An uncomfortable reality.,2023,Japan,Nikhil,male,Teruhiko,unknown,"['Humans', 'Heart Arrest', 'Shock, Cardiogenic', 'Heart-Assist Devices', 'Hemodynamics']"
Diagnosis and management of out-of-hospital cardiac arrest secondary to coronary artery spasm.,2003,France,Christophe,male,Christian,male,"['Calcium Channel Blockers', 'Cardiac Catheterization', 'Coronary Angiography', 'Coronary Vasospasm', 'Defibrillators, Implantable', 'Electrophysiologic Techniques, Cardiac', 'Female', 'Heart Arrest', 'Humans', 'Male', 'Middle Aged', 'Prospective Studies', 'Stents']"
Perioperative anaphylaxis manifesting as cardiac arrest during cardiac surgery.,2025,,Valerie,female,Gerald,male,"['Humans', 'Anaphylaxis', 'Male', 'Aged', 'Heart Arrest', 'Perioperative Period', 'Diagnosis, Differential', 'Coronary Artery Bypass', 'Intraoperative Complications', 'Drug Hypersensitivity', 'Immunoglobulin E', 'Skin Tests', 'Tryptases']"
Outcomes of in-hospital cardiac arrest in COVID-19 patients: A proportional prevalence meta-analysis.,2022,United States,Tanveer,male,Waqas,unknown,"['COVID-19', 'Cardiopulmonary Resuscitation', 'Heart Arrest', 'Hospitals', 'Humans', 'Prevalence', 'SARS-CoV-2', 'Treatment Outcome']"
Standardized EEG interpretation accurately predicts prognosis after cardiac arrest.,2016,,Erik,male,Tobias,male,"['Aged', 'Anticonvulsants', 'Body Temperature', 'Brain', 'Comorbidity', 'Electroencephalography', 'Female', 'Follow-Up Studies', 'Heart Arrest', 'Humans', 'Hypnotics and Sedatives', 'Hypothermia, Induced', 'Male', 'Prognosis', 'Seizures', 'Sensitivity and Specificity', 'Severity of Illness Index', 'Single-Blind Method', 'Time Factors', 'Treatment Outcome']"
Fully automatic rhythm analysis during chest compression pauses.,2015,Spain,U,unknown,T,unknown,"['Adult', 'Algorithms', 'Artifacts', 'Cardiography, Impedance', 'Cardiopulmonary Resuscitation', 'Electric Countershock', 'Electrocardiography', 'Humans', 'Norway', 'Out-of-Hospital Cardiac Arrest', 'Predictive Value of Tests', 'Reproducibility of Results']"
Echocardiography in cardiac arrest.,2010,,Susanna,female,Tom,male,"['Algorithms', 'Cardiopulmonary Resuscitation', 'Critical Illness', 'Echocardiography', 'Embolism', 'Emergency Service, Hospital', 'Heart Arrest', 'Heart Diseases', 'Hemodynamics', 'Humans', 'Intensive Care Units', 'Thrombosis']"
Combining Electrophysiology and Neuroimaging to Enhance Accuracy of Neuroprognostication in Children After Cardiac Arrest.,2024,Canada,Saptharishi,unknown,Saptharishi,unknown,"['Child', 'Humans', 'Heart Arrest', 'Neuroimaging', 'Electrophysiology', 'Prognosis', 'Hypothermia, Induced', 'Out-of-Hospital Cardiac Arrest']"
Diagnosis of out-of-hospital cardiac arrest by emergency medical dispatch: A diagnostic systematic review.,2021,Canada,Ian,male,Peter,male,"['Cardiopulmonary Resuscitation', 'Emergency Medical Dispatch', 'Emergency Medical Dispatcher', 'Emergency Medical Service Communication Systems', 'Emergency Medical Services', 'Humans', 'Out-of-Hospital Cardiac Arrest']"
Prognostic value of point-of-care ultrasound during cardiac arrest: a systematic review.,2020,United States,Ilan,male,Asher,male,"['Cardiopulmonary Resuscitation', 'Heart Arrest', 'Humans', 'Point-of-Care Systems', 'Prognosis', 'Ultrasonography']"
Myocardial perfusion scintigraphy after cardiac arrest: on the pathophysiology of cardiac death.,2012,Brazil,Ronaldo,male,Lea,female,"['Aged', 'Death', 'Heart Arrest', 'Humans', 'Male', 'Myocardial Perfusion Imaging', 'Tomography, Emission-Computed, Single-Photon']"
Ictal asystole with convulsive syncope mimicking secondary generalisation: a depth electrode study.,2005,United States,A,unknown,E,unknown,"['Amygdala', 'Brain Injuries', 'Diagnosis, Differential', 'Electrodes, Implanted', 'Epilepsy, Generalized', 'Female', 'Follow-Up Studies', 'Heart Arrest', 'Hippocampus', 'Humans', 'Middle Aged', 'Pacemaker, Artificial', 'Syncope']"
PET after cardiac arrest: does it have any role in resuscitation medicine research?,2003,,J,unknown,J,unknown,"['Biomedical Research', 'Heart Arrest', 'Humans', 'Resuscitation', 'Tomography, Emission-Computed']"
Factors Impacting Treatment of Out-of-Hospital Cardiac Arrest: A Qualitative Study of Emergency Responders.,2023,United States,Amanda,female,Charles,male,"['Humans', 'United States', 'Out-of-Hospital Cardiac Arrest', 'Electric Countershock', 'Cardiopulmonary Resuscitation', 'Emergency Responders', 'Emergency Medical Services']"
Guidelines for the Use of Transesophageal Echocardiography (TEE) in the ED for Cardiac Arrest.,2017,,,unknown,,unknown,"['Echocardiography, Transesophageal', 'Emergency Service, Hospital', 'Heart Arrest', 'Humans', 'Practice Guidelines as Topic']"
The pitfalls of bedside regional cerebral oxygen saturation in the early stage of post cardiac arrest.,2015,Japan,Kosaku,male,Shingo,male,"['Adult', 'Aged', 'Cardiopulmonary Resuscitation', 'Cerebrovascular Circulation', 'Electroencephalography', 'Female', 'Heart Arrest', 'Humans', 'Hypothermia, Induced', 'Male', 'Middle Aged', 'Oximetry', 'Oxygen Consumption', 'Oxyhemoglobins', 'Point-of-Care Testing', 'Sensitivity and Specificity', 'Survival Analysis', 'Time Factors']"
Resuscitated out-of-hospital cardiac arrest with normal postresuscitation 12-lead electrocardiography.,2016,Japan,Yoshihiro,male,Keisuke,male,"['Cardiopulmonary Resuscitation', 'Electrocardiography', 'Humans', 'Male', 'Middle Aged', 'Out-of-Hospital Cardiac Arrest']"
The best things to do--MTH and PCI after cardiac arrest?,2014,Germany,Jan-Thorsten,unknown,Norbert,male,"['Coronary Angiography', 'Female', 'Humans', 'Hypothermia, Induced', 'Male', 'Out-of-Hospital Cardiac Arrest']"
Outcomes after in-hospital cardiac arrest in children with cardiac disease: a report from Get With the Guidelines--Resuscitation.,2011,United States,Laura,female,Adnan,male,"['Adolescent', 'Cardiac Surgical Procedures', 'Cardiopulmonary Resuscitation', 'Child', 'Child, Preschool', 'Female', 'Heart Arrest', 'Heart Diseases', 'Humans', 'Infant', 'Infant, Newborn', 'Inpatients', 'Male', 'Multivariate Analysis', 'Prognosis', 'Retrospective Studies', 'Survival Rate']"
Coronary angiography predicts improved outcome following cardiac arrest: propensity-adjusted analysis.,2009,United States,Joshua,male,Jon,male,"['Coronary Angiography', 'Female', 'Heart Arrest', 'Humans', 'Male', 'Middle Aged']"
Emergency dispatch process and patient outcome in bystander-witnessed out-of-hospital cardiac arrest with a shockable rhythm.,2015,Finland,Pamela,female,Jouni,male,"['Aged', 'Cardiopulmonary Resuscitation', 'Emergency Medical Services', 'Emergency Medical Technicians', 'Female', 'Finland', 'Humans', 'Male', 'Middle Aged', 'Out-of-Hospital Cardiac Arrest', 'Prospective Studies', 'Survival Analysis', 'Time Factors']"
A pragmatic checklist to identify pediatric ICU patients at risk for cardiac arrest or code bell activation.,2016,United States,Dana,female,Vinay,male,"['Checklist', 'Child', 'Child, Preschool', 'Heart Arrest', 'Hospital Rapid Response Team', 'Humans', 'Infant', 'Intensive Care Units, Pediatric', 'Pilot Projects', 'Prospective Studies', 'Risk Assessment']"
