Title,Year,Country,First_Author_First,Predicted_First_Gender,Last_Author_First,Predicted_Last_Gender,MeSH_Clean
Killer immunoglobulin-like receptor and human leukocyte antigen expression as immunodiagnostic parameters for pelvic endometriosis.,2006,China,Chunbin,andy,Takao,male,"['Biomarkers', 'Case-Control Studies', 'Disease Susceptibility', 'Endometriosis', 'Female', 'HLA Antigens', 'Humans', 'Leukocytes', 'Pelvis', 'Receptors, Immunologic', 'Receptors, KIR', 'Receptors, KIR2DL1']"
"Incisional endometriosis after cesarean section, episiotomy and other gynecologic procedures.",2005,,Muzeyyen,unknown,Ali,male,"['Adult', 'Cesarean Section', 'Endometriosis', 'Episiotomy', 'Female', 'Humans', 'Retrospective Studies', 'Ultrasonography']"
Large intramyometrial cystic adenomyosis: a hysteroscopic approach with bipolar resectoscope: case report.,2005,Italy,M,unknown,G,unknown,"['Endometriosis', 'Endosonography', 'Female', 'Humans', 'Hysteroscopy', 'Middle Aged', 'Myometrium', 'Uterine Diseases', 'Vagina']"
The role of laparoscopy in intrauterine insemination: a prospective randomized reallocation study.,2005,Netherlands,S,unknown,P,unknown,"['Adnexal Diseases', 'Endometriosis', 'Female', 'Humans', 'Insemination, Artificial', 'Laparoscopy', 'Pregnancy', 'Pregnancy Rate', 'Prospective Studies', 'Tissue Adhesions', 'Treatment Outcome']"
A case of sigmoid endometriosis difficult to differentiate from colon cancer.,2003,Greece,Philippos,male,Elias,male,"['Adult', 'Colonic Neoplasms', 'Colonoscopy', 'Diagnosis, Differential', 'Endometriosis', 'Female', 'Gastrointestinal Hemorrhage', 'Humans', 'Sigmoid Diseases']"
Routine clinical examination is not sufficient for diagnosing and locating deeply infiltrating endometriosis.,2002,France,Charles,male,Bertrand,male,"['Adult', ""Douglas' Pouch"", 'Endometriosis', 'Female', 'Humans', 'Laparoscopy', 'Ligaments', 'Middle Aged', 'Physical Examination', 'Retrospective Studies', 'Vaginal Diseases']"
The characterization of common ovarian cysts in premenopausal women.,2001,,K,unknown,T,unknown,"['Adolescent', 'Adult', 'Dermoid Cyst', 'Endometriosis', 'Female', 'Humans', 'Middle Aged', 'Ovarian Cysts', 'Premenopause', 'Prospective Studies', 'Ultrasonography']"
An Indocyanine Green-Based Nanocluster for Imaging Orthodox Endometriosis Lesions with Negative Contrast.,2024,China,Quanjie,andy,Ke,andy,"['Indocyanine Green', 'Endometriosis', 'Female', 'Animals', 'Hyaluronic Acid', 'Humans', 'Mice', 'Polylysine', 'Contrast Media', 'Nanoparticles', 'Optical Imaging', 'Fluorescent Dyes']"
Urinary Endometriosis Misdiagnosed as Ureteral Malignant Tumor by PET/CT: A Case Study.,2024,China,Hao-Yu,andy,Dan,male,"['Female', 'Humans', 'Middle Aged', 'Ureter', 'Positron Emission Tomography Computed Tomography', 'Endometriosis', 'Ureteral Neoplasms', 'Diagnostic Errors']"
"Role of ultrasonography in the diagnosis of endometriosis in infertile women: Ovarian endometrioma, deep endometriosis, and superficial endometriosis.",2024,Australia,Samantha,female,Emmeline,female,"['Female', 'Humans', 'Endometriosis', 'Infertility, Female', 'Artificial Intelligence', 'Delayed Diagnosis', 'Ultrasonography', 'Sensitivity and Specificity']"
"Prevalence, diagnostic delay and economic burden of endometriosis and its impact on quality of life: results from an Eastern Mediterranean population.",2024,Cyprus,Bethan,female,Nilufer,unknown,"['Humans', 'Female', 'Quality of Life', 'Endometriosis', 'Delayed Diagnosis', 'Financial Stress', 'Cross-Sectional Studies', 'Prevalence', 'Pelvic Pain', 'Cyprus']"
"Evaluation of the association of endometriosis and mammographic breast density, a cross-sectional study.",2022,,Ashraf,mostly_male,Sadaf,female,"['Adult', 'Breast Density', 'Breast Neoplasms', 'Cross-Sectional Studies', 'Endometriosis', 'Female', 'Humans', 'Mammography', 'Middle Aged', 'Progesterone', 'Risk Factors']"
Is the Deep Endometriosis or the Surgery the Cause of Postoperative Bladder Dysfunction?,2022,Austria,Rosa,female,Fabio,male,"['Endometriosis', 'Female', 'Humans', 'Prospective Studies', 'Treatment Outcome', 'Urinary Bladder', 'Urinary Bladder, Overactive', 'Urinary Incontinence']"
Delayed diagnosis of endometriosis disadvantages women in ART: a retrospective population linked data study.,2021,Australia,K,unknown,G,unknown,"['Australia', 'Cohort Studies', 'Delayed Diagnosis', 'Endometriosis', 'Female', 'Fertilization in Vitro', 'Humans', 'Longitudinal Studies', 'Middle Aged', 'Pregnancy', 'Retrospective Studies', 'Semantic Web']"
Cutaneous Endometriosis: A Case Report and Review of the Literature.,2021,United States,Rodolfo,male,Sara,female,"['Abdominal Wall', 'Adult', 'Cesarean Section', 'Cicatrix', 'Endometriosis', 'Female', 'Humans', 'Infant, Newborn', 'Neoplasm Recurrence, Local', 'Pregnancy']"
Ileal endometriosis in a patient with Crohn's disease: a diagnostic challenge.,2021,,Clara,female,Laura,female,"['Adalimumab', 'Adult', 'Crohn Disease', 'Endometriosis', 'Female', 'Humans', 'Ileal Diseases', 'Ileum']"
Endometriosis and spontaneous hemoperitoneum in pregnancy: ab uno disce omnes… Is it always true?,2021,France,Olivier,male,Jacques,male,"['Endometriosis', 'Female', 'Hemoperitoneum', 'Humans', 'Pregnancy', 'Pregnancy Complications']"
Long term follow-up of inguinal endometriosis.,2021,China,BoRan,male,MengHui,unknown,"['Endometriosis', 'Female', 'Follow-Up Studies', 'Groin', 'Humans', 'Laparoscopy', 'Neoplasm Recurrence, Local', 'Round Ligament of Uterus']"
Two Cases of Endometriosis in the Cecum Detected by Contrast-enhanced Computed Tomography with Air/Carbon Dioxide Insufflation.,2021,Japan,Masaya,male,Hiroyuki,male,"['Carbon Dioxide', 'Cecum', 'Colonoscopy', 'Endometriosis', 'Female', 'Humans', 'Insufflation', 'Tomography, X-Ray Computed']"
Evaluation of the routine use of pelvic MRI in women presenting with symptomatic uterine fibroids: When is pelvic MRI useful?,2019,Canada,Kim-Nhien,unknown,Pejman,male,"['Adenomyosis', 'Adult', 'Endometriosis', 'Female', 'Humans', 'Leiomyoma', 'Magnetic Resonance Imaging', 'Middle Aged', 'Multivariate Analysis', 'Quality of Life', 'Retrospective Studies', 'Ultrasonography']"
Presumption of pericardial endometriosis using MRI: Case report and review of the literature.,2019,France,Etienne,male,Arshid,unknown,"['Adult', 'Endometriosis', 'Female', 'Heart Diseases', 'Humans', 'Magnetic Resonance Imaging', 'Pericardium']"
Association between ultrasound features of adenomyosis and severity of menstrual pain.,2016,,J,unknown,D,unknown,"['Adenomyosis', 'Adolescent', 'Adult', 'Dysmenorrhea', 'Endometriosis', 'Female', 'Humans', 'Laparoscopy', 'Middle Aged', 'Prospective Studies', 'Regression Analysis', 'Ultrasonography', 'Young Adult']"
Concurrent appendiceal and umbilical endometriosis: a case report and review of the literature.,2014,Greece,Daniel,male,Antonios,male,"['Appendectomy', 'Appendix', 'Cecal Diseases', 'Endometriosis', 'Female', 'Humans', 'Hysterectomy', 'Leiomyoma', 'Middle Aged', 'Skin Diseases', 'Umbilicus', 'Uterine Neoplasms']"
Intramuscular abdominal wall endometriosis treated by ultrasound-guided ethanol injection.,2014,,Murat,male,Duygu,mostly_female,"['Abdominal Wall', 'Adult', 'Endometriosis', 'Ethanol', 'Female', 'Humans', 'Injections, Intralesional', 'Muscular Diseases', 'Sclerotherapy', 'Solvents', 'Ultrasonography, Interventional']"
A crossed random effects modeling approach for estimating diagnostic accuracy from ordinal ratings without a gold standard.,2013,United States,Yunlong,andy,Paul,male,"['Algorithms', 'Computer Simulation', 'Data Interpretation, Statistical', 'Diagnostic Tests, Routine', 'Endometriosis', 'Female', 'Humans', 'Models, Statistical', 'Monte Carlo Method', 'Observer Variation', 'Physicians', 'Radiography', 'Reproducibility of Results']"
Thoracic endometriosis syndrome manifesting as atraumatic haemothorax causing difficult ventilation under general anaesthesia.,2012,,Mark,male,Rachel,female,"['Adult', 'Anesthesia, General', 'Endometriosis', 'Female', 'Hemothorax', 'Humans', 'Intraoperative Complications', 'Lung Diseases', 'Pleural Diseases', 'Respiration Disorders', 'Syndrome']"
"Endometriosis presenting with hemorrhagic ascites, severe anemia, and shock.",2013,United States,Trent,male,Jason,male,"['Adult', 'Anemia', 'Ascites', 'Blood Transfusion', 'Contraceptives, Oral', 'Diagnosis, Differential', 'Endometriosis', 'Female', 'Hemorrhage', 'Humans', 'Shock']"
Rectosigmoid endometriosis.,2008,,Nazif,male,Mustafa,male,"['Adult', 'Diagnosis, Differential', 'Endometriosis', 'Female', 'Humans', 'Middle Aged', 'Rectal Diseases', 'Retrospective Studies', 'Sigmoid Diseases']"
Transrectal ultrasound and the diagnosis of rectovaginal endometriosis: a prospective observational study.,2008,,Anthony,male,Jared,male,"['Endometriosis', 'Female', 'Humans', 'Likelihood Functions', 'Prospective Studies', 'Rectal Diseases', 'Rectum', 'Sensitivity and Specificity', 'Ultrasonography', 'Vaginal Diseases']"
Primary umbilical endometriosis: clinical aspects and long-term follow-up of five cases.,2025,China,MengHui,unknown,ChongDong,unknown,"['Humans', 'Female', 'Endometriosis', 'Adult', 'Umbilicus', 'Follow-Up Studies']"
"NIH panel: Name change, new priorities advised for polycystic ovary syndrome.",2013,,Tracy,mostly_female,Tracy,mostly_female,"['Female', 'Humans', 'National Institutes of Health (U.S.)', 'Polycystic Ovary Syndrome', 'Terminology as Topic', 'United States']"
NASPAG 25 years later.,2012,,Joseph,male,Joseph,male,"['Chronic Disease', 'Female', 'Fertility Preservation', 'Gynecology', 'History, 20th Century', 'History, 21st Century', 'Humans', 'Neoplasms', 'Pediatrics', 'Pelvic Pain', 'Periodicals as Topic', 'Polycystic Ovary Syndrome', 'Societies, Medical']"
A 27-year-old woman with a diagnosis of polycystic ovary syndrome.,2007,,Richard,male,Richard,male,"['Adult', 'Contraceptives, Oral, Hormonal', 'Diabetes Mellitus', 'Female', 'Fertility', 'Humans', 'Polycystic Ovary Syndrome', 'Risk', 'Weight Loss']"
Current recommendations for the diagnostic evaluation and follow-up of patients presenting with symptomatic polycystic ovary syndrome.,2004,Australia,Ian,male,Gabor,unknown,"['Diagnosis, Differential', 'Female', 'Humans', 'Hyperandrogenism', 'Long-Term Care', 'Physical Examination', 'Polycystic Ovary Syndrome']"
Japan Society of Obstetrics and Gynecology revised diagnostic criteria for polycystic ovary syndrome: JSOG2024 criteria.,2025,Japan,Hiroki,male,Toshiya,male,"['Polycystic Ovary Syndrome', 'Female', 'Humans', 'Japan', 'Societies, Medical', 'Anti-Mullerian Hormone', 'Gynecology', 'Obstetrics', 'Adult', 'Hyperandrogenism']"
Adolescents diagnosed with polycystic ovary syndrome under the Rotterdam criteria but not meeting the diagnosis under the updated guideline.,2024,,Jin,female,Young,mostly_female,"['Humans', 'Polycystic Ovary Syndrome', 'Female', 'Adolescent', 'Retrospective Studies', 'Hyperandrogenism', 'Practice Guidelines as Topic', 'Child', 'Ultrasonography', 'Insulin Resistance', 'Case-Control Studies']"
"Synbiotic as an ameliorating factor in the health-related quality of life in women with polycystic ovary syndrome. A randomized, triple-blind, placebo-controlled trial.",2024,,Zahra,female,Golbon,unknown,"['Psychological Tests', 'Quality of Life', 'Self Report', 'Polycystic Ovary Syndrome', 'Humans', 'Infertility', 'Synbiotics', 'Female']"
Association of polycystic ovary syndrome with mammographic density in Turkish women: a population-based case-control study.,2023,,Ayşe,female,Deniz,mostly_female,"['Pregnancy', 'Humans', 'Female', 'Adult', 'Breast Density', 'Polycystic Ovary Syndrome', 'Case-Control Studies', 'Retrospective Studies', 'Breast Neoplasms', 'Estradiol']"
Insulin Resistance in Patients with Polycystic Ovary Syndrome is a Predictor of Fibromyalgia.,2024,,Belma,female,Bekir,male,"['Humans', 'Female', 'Polycystic Ovary Syndrome', 'Insulin Resistance', 'Fibromyalgia', 'Quality of Life', 'Pain', 'Insulin']"
Recommendations from the 2023 International Evidence-based Guideline for the Assessment and Management of Polycystic Ovary Syndrome.,2023,Australia,Helena,female,Anju,female,"['Pregnancy', 'Adult', 'Female', 'Humans', 'Child', 'Polycystic Ovary Syndrome', 'Quality of Life', 'Australia', 'Risk Factors', 'Gynecology']"
Sexual function in Chinese women with different clinical phenotypes of polycystic ovary syndrome.,2023,China,Xuanxuan,unknown,Alfred,male,"['Female', 'Humans', 'Cross-Sectional Studies', 'East Asian People', 'Phenotype', 'Polycystic Ovary Syndrome', 'Quality of Life', 'Sexual Dysfunction, Physiological']"
"Incidence, prevalence, and trends in polycystic ovary syndrome diagnosis: a United States population-based study from 2006 to 2019.",2023,Germany,Onchee,unknown,Susan,female,"['Humans', 'United States', 'Female', 'Aged', 'Incidence', 'Prevalence', 'Polycystic Ovary Syndrome', 'Retrospective Studies', 'Hawaii']"
Correlation of Serum Visfatin Level in Non-obese Women with Polycystic Ovary Syndrome and Matched Control.,2022,Iraq,Alaa,mostly_male,Wassan,unknown,"['Female', 'Humans', 'Body Mass Index', 'Cross-Sectional Studies', 'Hyperandrogenism', 'Insulin Resistance', 'Nicotinamide Phosphoribosyltransferase', 'Polycystic Ovary Syndrome']"
Diagnosis and treatment of polycystic ovary syndrome in adolescents.,2021,United States,J,unknown,Maureen,female,"['Adolescent', 'Child', 'Female', 'Humans', 'Hyperandrogenism', 'Polycystic Ovary Syndrome', 'Quality of Life']"
The translation and validation of the Arabic Version of the Polycystic Ovary Syndrome Health-Related Quality of Life Questionnaire (AR-PCOSQ).,2020,Saudi Arabia,Sultan,male,Yazed,unknown,"['Adult', 'Cross-Sectional Studies', 'Female', 'Humans', 'Language', 'Middle Aged', 'Polycystic Ovary Syndrome', 'Quality of Life', 'Reproducibility of Results', 'Saudi Arabia', 'Surveys and Questionnaires']"
Paratubal Cyst Recurrence in Children and Adolescents.,2020,United States,Leila,female,Jennifer,female,"['Adolescent', 'Child', 'Cohort Studies', 'Female', 'Hospitals, Pediatric', 'Humans', 'Incidence', 'Parovarian Cyst', 'Polycystic Ovary Syndrome', 'Recurrence', 'Retrospective Studies', 'Texas']"
Cardiometabolic Risk in PCOS: More than a Reproductive Disorder.,2017,United States,Laura,female,Laura,female,"['Cardiovascular Diseases', 'Female', 'Humans', 'Insulin Resistance', 'Metabolic Syndrome', 'Phenotype', 'Polycystic Ovary Syndrome', 'Risk Factors']"
Role of polycystic ovary syndrome in menstrual dysfunction in female athletes.,2009,United States,Nina,female,Hugh,male,"['Female', 'Humans', 'Menstruation Disturbances', 'Polycystic Ovary Syndrome', 'Risk Factors', 'Sports Medicine']"
Diagnosis of metabolic disorders in women with polycystic ovary syndrome.,2008,Italy,Stefano,male,Anna,female,"['Female', 'Glucose Tolerance Test', 'Humans', 'Insulin Resistance', 'Polycystic Ovary Syndrome']"
Patient experiences of endometriosis diagnosis: A mixed methods approach.,2024,United States,Elise,female,Whitney,mostly_male,"['Humans', 'Endometriosis', 'Female', 'Adult', 'Delayed Diagnosis', 'Patient Acceptance of Health Care', 'Surveys and Questionnaires', 'Young Adult', 'Middle Aged', 'Adolescent', 'Qualitative Research', 'Self-Help Groups']"
Malignant endometriosis of the rectovaginal septum: A case report.,2023,China,Yan,male,Lin,female,"['Female', 'Humans', 'Endometriosis', 'Vagina', 'Rectum', 'Fascia']"
Combining Sclerotherapy with CO(2) Laser Ablation for the Laparoscopic Management of Large Endometrioma: Advantages and Pitfalls.,2023,Switzerland,Milena,female,Nicola,female,"['Pregnancy', 'Female', 'Humans', 'Young Adult', 'Adult', 'Endometriosis', 'Ovarian Diseases', 'Carbon Dioxide', 'Sclerotherapy', 'Laparoscopy', 'Laser Therapy', 'Ethanol']"
Thai Interest Group for Endometriosis (TIGE) consensus statement on endometriosis-associated pain.,2022,Thailand,Wirach,unknown,Tawiwan,unknown,"['Endometriosis', 'Estrogens', 'Female', 'Humans', 'Pelvic Pain', 'Public Opinion', 'Quality of Life', 'Thailand']"
Massive hemorrhagic ascites associated with extensive severe peritoneal endometriosis: A rare case report.,2022,Greece,Dimitrios,male,Katerina,female,"['Ascites', 'Endometriosis', 'Female', 'Humans', 'Laparoscopy', 'Peritoneum']"
Retroperitoneal Squamous Cell Carcinoma Involving the Pelvic Side Wall Arising from Endometriosis: A Case Report.,2022,Italy,Giuseppe,male,Vito,male,"['Carcinoma, Squamous Cell', 'Endometriosis', 'Female', 'Humans', 'Laparoscopy', 'Middle Aged', 'Pelvis', 'Peritoneal Diseases', 'Retroperitoneal Space']"
Awareness of Endometriosis Symptoms-A Cross Sectional Survey among Polish Women.,2021,Poland,Maja,female,Iwona,female,"['Cross-Sectional Studies', 'Dysmenorrhea', 'Endometriosis', 'Female', 'Humans', 'Pelvic Pain', 'Poland']"
A case of thoracic endometriosis-related pneumothorax in a menopausal woman.,2020,Japan,Shungo,unknown,Yoshifumi,male,"['Diaphragm', 'Endometriosis', 'Female', 'Humans', 'Menopause', 'Middle Aged', 'Pneumothorax', 'Thoracic Surgery, Video-Assisted']"
Ignored Because It Is Benign - It Is Time to Treat Endometriosis as if It Were Cancer.,2020,Australia,Mathew,male,George,male,"['Endometriosis', 'Female', 'Gynecology', 'Humans', 'Interdisciplinary Communication', 'Ovarian Neoplasms', 'Patient Care Team', 'Quality of Life']"
"Cloverleaf Sign in Pelvic Magnetic Resonance Imaging for Deep Infiltrating Endometriosis: Association With Longer Operation Times, Greater Blood Loss, and Higher Rates of Bowel Resection.",2020,Switzerland,Kirsi,female,Michael,male,"['Adult', 'Blood Loss, Surgical', 'Endometriosis', 'Female', 'Humans', 'Intestines', 'Magnetic Resonance Imaging', 'Operative Time', 'Pelvis', 'Retrospective Studies']"
Recurrent massive ascites due to mossy endometriosis.,2016,Georgia,Erica,female,Ceana,unknown,"['Adult', 'Ascites', 'Diagnosis, Differential', 'Drainage', 'Endometriosis', 'Female', 'Humans', 'Laparoscopy', 'Predictive Value of Tests', 'Recurrence', 'Treatment Outcome']"
Transanal endoscopic microsurgery in the management of rectal wall endometriosis.,2016,Hungary,Balazs,unknown,Talvinder,unknown,"['Adult', 'Diagnosis, Differential', 'Endometriosis', 'Female', 'Humans', 'Rectal Diseases', 'Transanal Endoscopic Microsurgery']"
Computed diffusion-weighted imaging for differentiating decidualized endometrioma from ovarian cancer.,2016,Japan,Mayumi,female,Masafumi,male,"['Adult', 'Diagnosis, Differential', 'Diffusion Magnetic Resonance Imaging', 'Endometriosis', 'Endometrium', 'Female', 'Humans', 'Ovarian Neoplasms', 'Pregnancy', 'Pregnancy Complications', 'Pregnancy Complications, Neoplastic', 'Retrospective Studies']"
Urinary Tract Endometriosis.,2015,Poland,Anna,female,Lidia,female,"['Diagnosis, Differential', 'Endometriosis', 'Female', 'Humans', 'Urinary Bladder', 'Urinary Bladder Diseases', 'Urination', 'Urination Disorders']"
Lack of Evidence That Male Fetal Microchimerism is Present in Endometriosis.,2015,Belgium,Amelie,female,Dan,male,"['Adult', 'Case-Control Studies', 'Chimerism', 'Chromosomes, Human, X', 'Chromosomes, Human, Y', 'Endometriosis', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Male', 'Risk Factors']"
Identification of biomarkers for endometriosis using clinical proteomics.,2015,China,Yang,andy,Xiao-Hong,andy,"['Adolescent', 'Adult', 'Biomarkers', 'Endometriosis', 'Female', 'Humans', 'Middle Aged', 'Peptides', 'Proteomics', 'Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization', 'Young Adult']"
Ultrasound-guided excision of rectus abdominis muscle endometriosis.,2015,Italy,Maria,female,Francesca,female,"['Adult', 'Endometriosis', 'Female', 'Humans', 'Muscular Diseases', 'Rectus Abdominis', 'Ultrasonography']"
A high sensitivity assay is more accurate than a classical assay for the measurement of plasma CRP levels in endometriosis.,2011,Belgium,Alexandra,female,Thomas,male,"['Biomarkers', 'C-Reactive Protein', 'Endometriosis', 'Female', 'Humans', 'Luteal Phase', 'Sensitivity and Specificity']"
Polypoid endometriosis of the bladder during pregnancy mimicking urachal carcinoma.,2011,Belgium,S,unknown,F,unknown,"['Adult', 'Diagnosis, Differential', 'Endometriosis', 'Female', 'Humans', 'Magnetic Resonance Imaging', 'Polyps', 'Pregnancy', 'Pregnancy Complications, Neoplastic', 'Ultrasonography, Doppler, Color', 'Urinary Bladder Diseases', 'Urinary Bladder Neoplasms']"
The sonographic diagnosis of deep endometriosis.,2009,,Erich,male,Piero,male,"['Contrast Media', 'Endometriosis', 'Female', 'Gels', 'Humans', 'Image Enhancement', 'Pelvis', 'Rectum', 'Sodium Chloride', 'Ultrasonography', 'Vagina']"
The pathogenesis of bladder detrusor endometriosis.,2002,Italy,Paolo,male,Pier,male,"['Adult', 'Endometriosis', 'Female', 'Humans', 'Magnetic Resonance Imaging', 'Tomography, X-Ray Computed', 'Urinary Bladder Diseases']"
Consensus on Symptom Selection for Endometriosis Questionnaires: A Modified e-Delphi Study.,2025,Denmark,Tong,andy,Dorte,female,"['Humans', 'Endometriosis', 'Female', 'Delphi Technique', 'Surveys and Questionnaires', 'Consensus', 'Adult', 'Pelvic Pain', 'Dysmenorrhea', 'Symptom Assessment', 'Middle Aged', 'Infertility, Female']"
Endometriosis with colonic mucosal colonisation: a diagnostic confounder.,2024,United States,Jeremy,male,Elizabeth,female,"['Female', 'Humans', 'Endometriosis', 'Constriction, Pathologic', 'Colon', 'Rectum', 'Carcinoma']"
"Accuracy of Transvaginal Ultrasonographic Diagnosis of Retroflexed Uterus in Endometriosis, with Magnetic Resonance Imaging as Reference.",2023,,Shigeru,male,Toshiyuki,male,"['Female', 'Humans', 'Endometriosis', 'Uterine Retroversion', 'Ultrasonography', 'Retrospective Studies', 'Sensitivity and Specificity', 'Magnetic Resonance Imaging']"
Extracellular vesicle-derived long non-coding RNA as circulating biomarkers for endometriosis.,2022,China,Shan,andy,Hong,andy,"['Biomarkers', 'Endometriosis', 'Extracellular Vesicles', 'Female', 'Humans', 'RNA, Long Noncoding', 'ROC Curve', 'Sequence Analysis, RNA']"
"Defining future directions for endometriosis research: workshop report from the 2011 World Congress of Endometriosis In Montpellier, France.",2013,Australia,Peter,male,Robert,male,"['Animals', 'Biomedical Research', 'Consensus', 'Endometriosis', 'Female', 'Forecasting', 'Humans', 'Prognosis']"
Abdominal wall endometriosis: a gynecologic condition commonly presented to general surgeons.,2013,United States,Iswanto,unknown,Matthew,male,"['Abdominal Wall', 'Adult', 'Cesarean Section', 'Endometriosis', 'Female', 'Humans', 'Postoperative Complications', 'Pregnancy']"
Vulvar endometrioma: a case report.,2011,,V,unknown,O,unknown,"['Endometriosis', 'Female', 'Humans', 'Middle Aged', 'Vulvar Diseases']"
Diffuse endometritis in the setting of umbilical endometriosis: a case report.,2008,United States,Kristopher,male,Holly,female,"['Diagnosis, Differential', 'Endometriosis', 'Female', 'Humans', 'Hysterectomy', 'Laparoscopy', 'Middle Aged', 'Treatment Outcome', 'Umbilicus']"
Crohn's disease complicated by multiple stenoses and internal fistulas clinically mimicking small bowel endometriosis.,2008,,Zafer,male,Nese,unknown,"['Adult', 'Constriction, Pathologic', 'Crohn Disease', 'Diagnosis, Differential', 'Endometriosis', 'Female', 'Humans', 'Intestinal Fistula', 'Intestinal Obstruction', 'Intestine, Small']"
Laparoscopic partial cystectomy in the management of bladder endometriosis: report of two cases.,2006,Chile,Gonzalo,male,Octavio,male,"['Adult', 'Cystectomy', 'Endometriosis', 'Female', 'Humans', 'Laparoscopy', 'Tomography, X-Ray Computed', 'Urinary Bladder Diseases']"
Recommendations From the 2023 International Evidence-based Guideline for the Assessment and Management of Polycystic Ovary Syndrome.,2023,Australia,Helena,female,Anju,female,"['Pregnancy', 'Adult', 'Female', 'Humans', 'Child', 'Polycystic Ovary Syndrome', 'Quality of Life', 'Australia', 'Risk Factors', 'Infertility, Female']"
Recommendations from the 2023 International Evidence-based Guideline for the Assessment and Management of Polycystic Ovary Syndrome†.,2023,Australia,Helena,female,Anju,female,"['Pregnancy', 'Adult', 'Female', 'Humans', 'Child', 'Polycystic Ovary Syndrome', 'Quality of Life', 'Australia', 'Risk Factors', 'Gynecology']"
Nonalcoholic Fatty Liver Disease in Women with Polycystic Ovarian Syndrome: A Narrative Review.,2022,United States,Katerina,female,Keith,male,"['Humans', 'Female', 'Polycystic Ovary Syndrome', 'Non-alcoholic Fatty Liver Disease', 'Angiotensin Receptor Antagonists', 'Angiotensin-Converting Enzyme Inhibitors']"
"A Global Survey of Ethnic Indian Women Living with Polycystic Ovary Syndrome: Co-Morbidities, Concerns, Diagnosis Experiences, Quality of Life, and Use of Treatment Methods.",2022,Australia,Vibhuti,unknown,Carolyn,female,"['Humans', 'Female', 'Adult', 'Young Adult', 'Polycystic Ovary Syndrome', 'Quality of Life', 'Delayed Diagnosis', 'Diabetes Mellitus, Type 2', 'Menstruation Disturbances']"
"Among high responders, is oocyte development potential different in Rotterdam consensus PCOS vs non-PCOS patients undergoing IVF?",2022,Canada,Veronique,female,Michael,male,"['Pregnancy', 'Humans', 'Female', 'Ovulation Induction', 'Fertilization in Vitro', 'Retrospective Studies', 'Consensus', 'Cohort Studies', 'Polycystic Ovary Syndrome', 'Pregnancy Rate', 'Oocytes']"
Differences in the individual curative effect of acupuncture for obese women with polycystic ovary syndrome based on metagenomic analysis: study protocol for a randomized controlled trial.,2021,China,Huaying,andy,Jiao,andy,"['Acupuncture Therapy', 'Clomiphene', 'Female', 'Humans', 'Menstruation', 'Obesity', 'Polycystic Ovary Syndrome', 'Randomized Controlled Trials as Topic']"
Animal Models to Understand the Etiology and Pathophysiology of Polycystic Ovary Syndrome.,2020,Sweden,Elisabet,female,David,male,"['Animals', 'Disease Models, Animal', 'Female', 'Humans', 'Polycystic Ovary Syndrome']"
Type A insulin resistance syndrome misdiagnosed as polycystic ovary syndrome: a case report.,2019,China,Lu,andy,Huibiao,unknown,"['Adult', 'Blood Glucose', 'Diagnostic Errors', 'Female', 'Humans', 'Hyperinsulinism', 'Insulin', 'Insulin Resistance', 'Male', 'Middle Aged', 'Pedigree', 'Polycystic Ovary Syndrome', 'Syndrome']"
Androgen Excess in Women: Proteomic and Metabolomic Approaches.,2019,Spain,María,mostly_female,Héctor,male,"['Female', 'Humans', 'Hyperandrogenism', 'Metabolomics', 'Polycystic Ovary Syndrome', 'Proteomics']"
Polycystic Ovary Syndrome and Central Serous Chorioretinopathy.,2015,,Matthew,male,Szilard,unknown,"['Adult', 'Central Serous Chorioretinopathy', 'Female', 'Humans', 'Middle Aged', 'Polycystic Ovary Syndrome', 'Tomography, Optical Coherence']"
Demodex folliculorum in polycystic ovary syndrome patients.,2015,,D,unknown,A,unknown,"['Adolescent', 'Adult', 'Animals', 'Body Mass Index', 'Female', 'Humans', 'Mite Infestations', 'Mites', 'Polycystic Ovary Syndrome', 'Pregnancy', 'Skin', 'Young Adult']"
Proteomics and polycystic ovary syndrome.,2013,Spain,María,mostly_female,Héctor,male,"['Female', 'Humans', 'Polycystic Ovary Syndrome', 'Proteome', 'Proteomics', 'Transcriptome']"
PCOS in lesbian and heterosexual women treated with artificial donor insemination.,2008,,P,unknown,M,unknown,"['Adult', 'Belgium', 'Female', 'Homosexuality, Female', 'Humans', 'Insemination, Artificial, Heterologous', 'Middle Aged', 'Polycystic Ovary Syndrome', 'Pregnancy', 'Prevalence', 'Retrospective Studies']"
QT dispersion in patients with polycystic ovary syndrome.,2002,,Mete,male,Veysel,male,"['Adult', 'Arrhythmias, Cardiac', 'Blood Pressure', 'Echocardiography', 'Electrocardiography', 'Female', 'Heart Rate', 'Humans', 'Polycystic Ovary Syndrome', 'Risk Factors']"
Insulin Resistance in an Underweight Woman with Polycystic Ovary Syndrome: A Case Study.,2025,,Besa,female,Violeta,female,"['Humans', 'Female', 'Polycystic Ovary Syndrome', 'Insulin Resistance', 'Young Adult', 'Thinness', 'Hirsutism', 'Body Mass Index']"
